brick_id,x_mm,y_mm,z_mm,orientation,active
1,0,0,0,X,1
2,200,0,0,X,1
3,400,0,0,X,1
4,600,0,0,X,1
5,800,0,0,X,1
6,1000,0,0,X,0
7,1200,0,0,X,0
8,1400,0,0,X,0
9,1600,0,0,X,0
10,1800,0,0,X,0
11,2000,0,0,X,1
12,2200,0,0,X,1
13,2400,0,0,X,1
14,2600,0,0,X,1
15,2800,0,0,X,1
16,3000,0,0,X,1
17,3200,0,0,X,1
18,3400,0,0,X,1
19,3600,0,0,X,1
20,3800,0,0,X,1
21,4000,0,0,X,1
22,4200,0,0,X,1
23,0,100,0,X,1
24,200,100,0,X,1
25,400,100,0,X,1
26,600,100,0,X,1
27,800,100,0,X,1
28,1000,100,0,X,0
29,1200,100,0,X,0
30,1400,100,0,X,0
31,1600,100,0,X,0
32,1800,100,0,X,0
33,2000,100,0,X,1
34,2200,100,0,X,1
35,2400,100,0,X,1
36,2600,100,0,X,1
37,2800,100,0,X,1
38,3000,100,0,X,1
39,3200,100,0,X,1
40,3400,100,0,X,1
41,3600,100,0,X,1
42,3800,100,0,X,1
43,4000,100,0,X,1
44,4200,100,0,X,1
45,0,200,0,X,1
46,200,200,0,X,1
47,400,200,0,X,1
48,600,200,0,X,1
49,800,200,0,X,1
50,1000,200,0,X,1
51,1200,200,0,X,1
52,1400,200,0,X,1
53,1600,200,0,X,1
54,1800,200,0,X,1
55,2000,200,0,X,1
56,2200,200,0,X,1
57,2400,200,0,X,1
58,2600,200,0,X,1
59,2800,200,0,X,1
60,3000,200,0,X,1
61,3200,200,0,X,1
62,3400,200,0,X,1
63,3600,200,0,X,1
64,3800,200,0,X,1
65,4000,200,0,X,1
66,4200,200,0,X,1
67,0,300,0,X,1
68,200,300,0,X,1
69,400,300,0,X,1
70,600,300,0,X,1
71,800,300,0,X,1
72,1000,300,0,X,1
73,1200,300,0,X,1
74,1400,300,0,X,1
75,1600,300,0,X,1
76,1800,300,0,X,1
77,2000,300,0,X,1
78,2200,300,0,X,1
79,2400,300,0,X,1
80,2600,300,0,X,1
81,2800,300,0,X,1
82,3000,300,0,X,1
83,3200,300,0,X,1
84,3400,300,0,X,1
85,3600,300,0,X,1
86,3800,300,0,X,1
87,4000,300,0,X,1
88,4200,300,0,X,1
89,0,400,0,X,1
90,200,400,0,X,1
91,400,400,0,X,1
92,600,400,0,X,1
93,800,400,0,X,1
94,1000,400,0,X,1
95,1200,400,0,X,1
96,1400,400,0,X,1
97,1600,400,0,X,1
98,1800,400,0,X,1
99,2000,400,0,X,1
100,2200,400,0,X,1
101,2400,400,0,X,1
102,2600,400,0,X,1
103,2800,400,0,X,1
104,3000,400,0,X,1
105,3200,400,0,X,1
106,3400,400,0,X,1
107,3600,400,0,X,1
108,3800,400,0,X,1
109,4000,400,0,X,1
110,4200,400,0,X,1
111,0,500,0,X,1
112,200,500,0,X,1
113,400,500,0,X,1
114,600,500,0,X,1
115,800,500,0,X,1
116,1000,500,0,X,1
117,1200,500,0,X,1
118,1400,500,0,X,1
119,1600,500,0,X,1
120,1800,500,0,X,1
121,2000,500,0,X,1
122,2200,500,0,X,1
123,2400,500,0,X,1
124,2600,500,0,X,1
125,2800,500,0,X,1
126,3000,500,0,X,1
127,3200,500,0,X,1
128,3400,500,0,X,1
129,3600,500,0,X,1
130,3800,500,0,X,1
131,4000,500,0,X,1
132,4200,500,0,X,1
133,0,600,0,X,1
134,200,600,0,X,1
135,400,600,0,X,1
136,600,600,0,X,1
137,800,600,0,X,1
138,1000,600,0,X,1
139,1200,600,0,X,1
140,1400,600,0,X,1
141,1600,600,0,X,1
142,1800,600,0,X,1
143,2000,600,0,X,1
144,2200,600,0,X,1
145,2400,600,0,X,1
146,2600,600,0,X,1
147,2800,600,0,X,1
148,3000,600,0,X,1
149,3200,600,0,X,1
150,3400,600,0,X,1
151,3600,600,0,X,1
152,3800,600,0,X,1
153,4000,600,0,X,1
154,4200,600,0,X,1
155,0,700,0,X,1
156,200,700,0,X,1
157,400,700,0,X,1
158,600,700,0,X,1
159,800,700,0,X,1
160,1000,700,0,X,1
161,1200,700,0,X,1
162,1400,700,0,X,1
163,1600,700,0,X,1
164,1800,700,0,X,1
165,2000,700,0,X,1
166,2200,700,0,X,1
167,2400,700,0,X,1
168,2600,700,0,X,1
169,2800,700,0,X,1
170,3000,700,0,X,1
171,3200,700,0,X,1
172,3400,700,0,X,1
173,3600,700,0,X,1
174,3800,700,0,X,1
175,4000,700,0,X,1
176,4200,700,0,X,1
177,0,800,0,X,1
178,200,800,0,X,1
179,400,800,0,X,1
180,600,800,0,X,1
181,800,800,0,X,1
182,1000,800,0,X,1
183,1200,800,0,X,1
184,1400,800,0,X,1
185,1600,800,0,X,1
186,1800,800,0,X,1
187,2000,800,0,X,1
188,2200,800,0,X,1
189,2400,800,0,X,1
190,2600,800,0,X,1
191,2800,800,0,X,1
192,3000,800,0,X,1
193,3200,800,0,X,1
194,3400,800,0,X,1
195,3600,800,0,X,1
196,3800,800,0,X,1
197,4000,800,0,X,1
198,4200,800,0,X,1
199,0,900,0,X,1
200,200,900,0,X,1
201,400,900,0,X,1
202,600,900,0,X,1
203,800,900,0,X,1
204,1000,900,0,X,1
205,1200,900,0,X,1
206,1400,900,0,X,1
207,1600,900,0,X,1
208,1800,900,0,X,1
209,2000,900,0,X,1
210,2200,900,0,X,1
211,2400,900,0,X,1
212,2600,900,0,X,1
213,2800,900,0,X,1
214,3000,900,0,X,1
215,3200,900,0,X,1
216,3400,900,0,X,1
217,3600,900,0,X,1
218,3800,900,0,X,1
219,4000,900,0,X,1
220,4200,900,0,X,1
221,0,1000,0,X,1
222,200,1000,0,X,1
223,400,1000,0,X,1
224,600,1000,0,X,1
225,800,1000,0,X,1
226,1000,1000,0,X,1
227,1200,1000,0,X,1
228,1400,1000,0,X,1
229,1600,1000,0,X,1
230,1800,1000,0,X,1
231,2000,1000,0,X,1
232,2200,1000,0,X,1
233,2400,1000,0,X,1
234,2600,1000,0,X,1
235,2800,1000,0,X,1
236,3000,1000,0,X,1
237,3200,1000,0,X,1
238,3400,1000,0,X,1
239,3600,1000,0,X,1
240,3800,1000,0,X,1
241,4000,1000,0,X,1
242,4200,1000,0,X,1
243,0,1100,0,X,1
244,200,1100,0,X,1
245,400,1100,0,X,1
246,600,1100,0,X,1
247,800,1100,0,X,1
248,1000,1100,0,X,1
249,1200,1100,0,X,1
250,1400,1100,0,X,1
251,1600,1100,0,X,1
252,1800,1100,0,X,1
253,2000,1100,0,X,1
254,2200,1100,0,X,1
255,2400,1100,0,X,1
256,2600,1100,0,X,1
257,2800,1100,0,X,1
258,3000,1100,0,X,1
259,3200,1100,0,X,1
260,3400,1100,0,X,1
261,3600,1100,0,X,1
262,3800,1100,0,X,1
263,4000,1100,0,X,1
264,4200,1100,0,X,1
265,0,1200,0,X,1
266,200,1200,0,X,1
267,400,1200,0,X,1
268,600,1200,0,X,1
269,800,1200,0,X,1
270,1000,1200,0,X,1
271,1200,1200,0,X,1
272,1400,1200,0,X,1
273,1600,1200,0,X,1
274,1800,1200,0,X,1
275,2000,1200,0,X,1
276,2200,1200,0,X,1
277,2400,1200,0,X,1
278,2600,1200,0,X,1
279,2800,1200,0,X,1
280,3000,1200,0,X,1
281,3200,1200,0,X,1
282,3400,1200,0,X,1
283,3600,1200,0,X,1
284,3800,1200,0,X,1
285,4000,1200,0,X,1
286,4200,1200,0,X,1
287,0,1300,0,X,1
288,200,1300,0,X,1
289,400,1300,0,X,1
